rap;pt;Model_Psi2S_Pbp;alpha_Psi2S_Pbp;n_Psi2S_Pbp;
1.03-1.46;3.0-5.0;SingleCrystalBall;[1.9];[2.1];
1.03-1.46;3.0-6.5;SingleCrystalBall;[1.9];[2.1];
1.03-1.46;4.0-6.5;SingleCrystalBall;[1.9];[2.1];
1.03-1.46;5.0-6.5;SingleCrystalBall;[1.9];[2.1];
1.03-1.46;6.5-10.0;SingleCrystalBall;[1.9];[2.1];
1.03-1.46;4.0-10.0;SingleCrystalBall;[1.9];[2.1];
1.03-1.46;10.0-30.0;SingleCrystalBall;[1.9];[2.1];
1.03-1.46;4.0-30.0;SingleCrystalBall;[1.9];[2.1];
1.03-1.46;6.5-30.0;SingleCrystalBall;[1.9];[2.1];
