rap;pt;Model_Psi2S_Pbp;alpha_Psi2S_Pbp;n_Psi2S_Pbp;
-1.97--1.37;6.5-10.0;SingleCrystalBall;[1.9];[2.1];
-1.97--1.37;10.0-30.0;SingleCrystalBall;[1.9];[2.1];
-1.97--1.37;6.5-30.0;SingleCrystalBall;[1.9];[2.1];
