rap;pt;Model_Psi2S_Pbp;alpha_Psi2S_Pbp;n_Psi2S_Pbp;
1.46-1.93;3.0-4.0;SingleCrystalBall;[1.9];[2.1];
1.46-1.93;4.0-5.0;SingleCrystalBall;[1.9];[2.1];
1.46-1.93;5.0-6.5;SingleCrystalBall;[1.9];[2.1];
1.46-1.93;4.0-6.5;SingleCrystalBall;[1.9];[2.1];
1.46-1.93;6.5-10.0;SingleCrystalBall;[1.9];[2.1];
1.46-1.93;10.0-30.0;SingleCrystalBall;[1.9];[2.1];
1.46-1.93;3.0-6.5;SingleCrystalBall;[1.9];[2.1];
1.46-1.93;4.0-10.0;SingleCrystalBall;[1.9];[2.1];
1.46-1.93;4.0-30.0;SingleCrystalBall;[1.9];[2.1];
1.46-1.93;6.5-30.0;SingleCrystalBall;[1.9];[2.1];
